id,header                                                                                                                                            ,device ,osName ,osVersion,browserName,browserVersion
1 ,"16.3%	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	Chrome 65.0"           ,DESKTOP,Windows,10       ,           ,
2 ,"5.5%	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0	Firefox 59.0"                                                ,DESKTOP,Windows,10       ,           ,
3 ,"5.0%	Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	Chrome 65.0"             ,DESKTOP,Windows,7        ,           ,
4 ,"4.2%	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	Chrome 65.0"      ,DESKTOP,MacOs  ,         ,           ,
5 ,"3.6%	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1 Safari/605.1.15	Safari Generic"       ,DESKTOP,MacOs  ,         ,           ,
6 ,"3.1%	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	Chrome 65.0"      ,DESKTOP,MacOs  ,         ,           ,
7 ,"2.4%	Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0	Firefox 59.0"                                                  ,DESKTOP,Linux  ,         ,           ,
8 ,"2.3%	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.117 Safari/537.36	Chrome Generic"         ,DESKTOP,Windows,10       ,           ,
9 ,"2.2%	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	Chrome 65.0"      ,DESKTOP,MacOs  ,         ,           ,
10,"2.2%	Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0	Firefox 59.0"                                                 ,DESKTOP,Windows,7        ,           ,
11,"1.8%	Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:59.0) Gecko/20100101 Firefox/59.0	Firefox 59.0"                                            ,DESKTOP,MacOs  ,         ,           ,
12,"1.7%	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 Edge/16.16299	Edge 16.0",DESKTOP,Windows,         ,           ,
13,"1.7%	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	Chrome 65.0"                      ,DESKTOP,Linux  ,         ,           ,
14,"1.6%	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36	Chrome Generic"         ,DESKTOP,Windows,10       ,           ,
15,"1.5%	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0.3 Safari/604.5.6	Safari 11.0"          ,DESKTOP,MacOs  ,         ,           ,
16,"1.3%	Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	Chrome 65.0"             ,DESKTOP,Windows,8.1      ,           ,
17,"1.0%	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	IE 11.0 for Desktop"                                                   ,DESKTOP,Windows,7        ,           ,
18,"0.9%	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36	Chrome 65.0"      ,DESKTOP,MacOs  ,         ,           ,
